Control_ID,Control_Name,System_Component,Control_Reference,Control_Description,Evidence,Coverage,Gap,Operator_Dependency,Linked_Rationale_Ref
CTRL-015,CC6.6 Logical and Procedural Access to Change Execution,run_all.R orchestration,CC6.6 Logical and Procedural Access to Change Execution,Single entry-point run orchestration limits ad hoc stage bypass and supports controlled execution path,Entrypoint script + invocation records,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-006
CTRL-016,Non-Modellable Risk Factor Stress Capture,scripts/02_analysis.R (Power Law logic),Non-Modellable Risk Factor Stress Capture,Jump-risk oriented stress regime supports severe tail scenario evaluation where linear assumptions understate risk,Scenario-level signal and ruin-flag outputs,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-017,Assumption Governance and Liability Boundary Control,scripts/10_liability_engine.R,Assumption Governance and Liability Boundary Control,Liability stack assumptions are TOML-governed and explicitly stress-adjusted under hyperinflation to surface headroom breach risk,Config diffs + deterministic run output,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-018,Income-vs-Loss Stress Transparency,scripts/11_credit_deployment.R,Income-vs-Loss Stress Transparency,Spread engine computes gross and default-adjusted net income with scenario LGD proxy linkage while preserving non-IRB positioning,Scenario-level spread output + seeded reproducibility evidence,DECLARED_LIMITATION,NO,NO,RAT-005
CTRL-019,Risk Aggregation and State Classification Integrity,scripts/12_spread_stress.R,Risk Aggregation and State Classification Integrity,Cross-scenario aggregation emits deterministic SOLVENT/WATCH/BREACH states with worst-case identification and headroom summaries,Machine-generated aggregate table + metadata artifact,FULL,NO,NO,RAT-001
CTRL-020,CC7.2 Monitoring and Exception Visibility,scripts/13_capital_stack_viz.R,CC7.2 Monitoring and Exception Visibility,Terminal-native capital stack summary and color-coded chart provide consistent scenario-level operational visibility for escalation decisions,Terminal summary + output artifacts,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-001
CTRL-021,Data Architecture and Infrastructure,data/manifest/data_manifest.toml,Data Architecture and Infrastructure,"Manifest establishes controlled, versioned dataset registry with mode segregation and approval fields for governed ingestion.",Versioned manifest artifact + preflight summary logs,FULL,NO,NO,RAT-007
CTRL-022,Accuracy and Integrity,data/lineage/*.toml,Accuracy and Integrity,"Per-file lineage records capture dataset origin, generation method, schema version, and approval lifecycle metadata.",Lineage TOML records + manifest linkage,FULL,NO,NO,RAT-007
CTRL-023,Integrity Verification Controls,scripts/00_env_check.R (SHA-256 verification),Integrity Verification Controls,Preflight recomputes SHA-256 for active manifest datasets and halts on live hash failure to prevent unverified ingestion.,Preflight hash verification output,FULL,NO,NO,RAT-003
CTRL-024,Outcomes Analysis,scripts/20_dcf.R,Outcomes Analysis,Stress-conditioned DCF engine links scenario recoveries to valuation erosion and impairment signaling for model outcomes analysis,Scenario valuation output + impairment signal evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-025,CC3 Risk Assessment,scripts/21_ma.R,CC3 Risk Assessment,M&A screen formalizes acquisition decision thresholds under stress and captures review/pass triggers for near-threshold outcomes,Scenario screening output + threshold config evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-026,Leverage Stress and Tail Resilience,scripts/23_lbo.R,Leverage Stress and Tail Resilience,LBO stress module evaluates DSCR and stressed IRR viability under scenario-conditioned exit values to expose leverage fragility,Scenario DSCR/IRR output + viability states,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-027,Ongoing Monitoring,scripts/24_irr.R,Ongoing Monitoring,IRR attribution module decomposes return drivers and recomputes stressed IRR per scenario for monitoring against floor and target thresholds,IRR attribution artifacts + stressed signal evidence,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-005
CTRL-028,Output Integrity and Aggregation Consistency,scripts/25_deal_summary.R,Output Integrity and Aggregation Consistency,Deal intelligence aggregator consolidates lens outputs and capital stack signals into deterministic committee summaries with worst-case identification,Consolidated summary artifact + metadata record,FULL,NO,NO,RAT-001
CTRL-029,Conceptual Soundness,scripts/30_bs_core.R,Conceptual Soundness,Derivation and runtime implementation are documented from replicating-portfolio PDE basis with explicit risk-neutral drift elimination,Script header + preflight halt artifact,FULL,OPERATOR_DEPENDENT,YES,RAT-001
CTRL-030,Ongoing Monitoring,scripts/30b_greeks.R,Ongoing Monitoring,Analytical Greeks and delta-gamma-vega scenario decomposition provide continuous sensitivity monitoring and explainability,Greeks output table,FULL,NO,NO,RAT-001
CTRL-031,Greeks-based P&L Attribution,scripts/30b_greeks.R,Greeks-based P&L Attribution,Scenario P&L decomposition emitted as delta gamma vega totals per option position,Options summary artifact,FULL,NO,NO,RAT-001
CTRL-032,Model Validation,scripts/36_delta_hedge.R,Model Validation,Discrete replication error simulation provides internal validation lens for option-adjusted solvency headroom resilience,Delta-hedge artifact,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-001
CTRL-033,Outcomes Analysis and Ongoing Monitoring,notebooks/sira_scenarios.ipynb,Outcomes Analysis and Ongoing Monitoring,Read-only inspection surface. Deterministic from declared seed. Does not modify governed artefacts.,Notebook execution evidence,FULL,NO,NO,RAT-001
CTRL-034,Model Documentation,notebooks/SIRA_READER_GUIDE.md,Model Documentation,Orientation and navigation document that makes notebook governance artefacts discoverable to any reviewer.,Documentation artefact,FULL,NO,NO,RAT-006
CTRL-035,Conceptual Soundness,notebooks/SIRA_METHODOLOGY.md,Conceptual Soundness,"Narrative methodology record linking design choices to governed intent across stress, signal, capital stack, and options layers.",Documentation artefact,FULL,NO,NO,RAT-005
CTRL-036,Configuration Management,notebooks/SIRA_PATH_RESOLVER.md,Configuration Management,Technical governance record for deterministic TOML path resolution with fail-loud behavior and operator mitigations.,Operational control documentation,FULL,NO,NO,RAT-001
CTRL-037,Model Development Documentation,notebooks/SIRA_RNORM_RATIONALE.md,Model Development Documentation,Governance rationale preserving Gaussian reference draws as structural evidence for distribution selection decisions.,Documentation artefact,FULL,NO,NO,RAT-001
CTRL-038,Model Validation,notebooks/SIRA_REVIEWER_CHECKLIST.md,Model Validation,"Structured review checklist mapping validation criteria to notebook cells, source documents, and evidence artefacts.",Validation checklist,PARTIAL,OPERATOR_DEPENDENT,YES,RAT-001
CTRL-039,Copyright and redistribution,LICENSE,Copyright and redistribution,Standard Apache License 2.0 terms at repository root,License document,FULL,NO,NO,RAT-009
CTRL-040,Attribution notice,NOTICE,Attribution notice,Repository root NOTICE file for required attribution carriage,Notice document,FULL,NO,NO,RAT-009
CTRL-041,Academic use boundary,notebooks/DISCLAIMER.md,Academic use boundary,Protective academic-use boundary and scope guidance for notebook literature suite,Disclaimer document,FULL,NO,NO,RAT-009
CTRL-042,Notice block canonical source,notebooks/NOTICE_BLOCK.md,Notice block canonical source,Single-source canonical notice block with propagation procedure,Canonical notice reference,FULL,NO,NO,RAT-009
CTRL-043,Architecture-level hardening declaration,docs/ETHOS.md,Architecture-level hardening declaration,Architecture-level hardening declaration codified as the governing operating model for the IĀTŌ stack,Governance document,FULL,NO,NO,RAT-004
CTRL-044,Operating model declaration,docs/ETHOS.md,Operating model declaration,Operating model declaration maps stack-level execution constraints to E8 ML4 hardening posture,Governance document,FULL,NO,NO,RAT-004
CTRL-045,CC3 Risk assessment and gap analysis,docs/DELIVERY.md,CC3 Risk assessment and gap analysis,Engagement model defines fixed-scope control gap analysis and exception accountability artefacts,Governance document,FULL,NO,NO,RAT-001
CTRL-046,Evidence artefact production,docs/DELIVERY.md,Evidence artefact production,Delivery framework specifies required evidence artefacts and custody model for control closure verification,Governance document,FULL,NO,NO,RAT-001
CTRL-047,Audit logging evidence mapping,docs/DELIVERY.md,Audit logging evidence mapping,Delivery artefact mapping binds MCP session logs to ML4 audit logging objectives,Governance document,FULL,NO,NO,RAT-010
CTRL-048,Documentation integrity,Hyperlink audit (this prompt),Documentation integrity,Hyperlink audit confirms referenced governance documents resolve and remain navigable for review continuity,Hyperlink audit output,FULL,NO,NO,RAT-010
CTRL-049,Traceability — primary document chain,Navigation graph,Traceability — primary document chain,Navigation graph maps primary document chain to preserve deterministic reviewer traversal and control traceability,Navigation graph artifact,FULL,NO,NO,RAT-001
