# This register extends the Control Rationale Crosswalk by capturing implementation status, evidence, and coverage gaps. It is not a control definition source.
Control_ID,SIRA_Component,Control_Reference,Control_Description,Evidence_Type,Coverage_Assessment,Gap_Flag,Notes,Linked_Crosswalk_Ref
CTRL-020,scripts/13_capital_stack_viz.R,CC7.2 Monitoring and Exception Visibility,Terminal-native capital stack summary and color-coded chart provide consistent scenario-level operational visibility for escalation decisions,Terminal summary + output artifacts,PARTIAL,OPERATOR_DEPENDENT,Escalation ownership and notification workflow remain external governance controls,Deterministic seed/config-driven scenarios
CTRL-021,data/manifest/data_manifest.toml,Data Architecture and Infrastructure,"Manifest establishes controlled, versioned dataset registry with mode segregation and approval fields for governed ingestion.",Versioned manifest artifact + preflight summary logs,FULL,NO,Repository-embedded data architecture control implemented.,Manifest + lineage registry
CTRL-022,data/lineage/*.toml,Accuracy and Integrity,"Per-file lineage records capture dataset origin, generation method, schema version, and approval lifecycle metadata.",Lineage TOML records + manifest linkage,FULL,NO,Lineage integrity controls enforced for governed datasets.,Manifest + lineage registry
CTRL-023,scripts/00_env_check.R (SHA-256 verification),Integrity Verification Controls,Preflight recomputes SHA-256 for active manifest datasets and halts on live hash failure to prevent unverified ingestion.,Preflight hash verification output,FULL,NO,Integrity verification embedded in runtime gate.,Runtime env/data preflight in SIRA
CTRL-024,scripts/20_dcf.R,Outcomes Analysis,Stress-conditioned DCF engine links scenario recoveries to valuation erosion and impairment signaling for model outcomes analysis,Scenario valuation output + impairment signal evidence,PARTIAL,OPERATOR_DEPENDENT,Threshold ownership and validation cadence require committee governance,Stochastic invalidation stress layer
CTRL-025,scripts/21_ma.R,CC3 Risk Assessment,M&A screen formalizes acquisition decision thresholds under stress and captures review/pass triggers for near-threshold outcomes,Scenario screening output + threshold config evidence,PARTIAL,OPERATOR_DEPENDENT,Acquisition override workflow and approvals remain operator-managed,Stochastic invalidation stress layer
CTRL-026,scripts/23_lbo.R,Leverage Stress and Tail Resilience,LBO stress module evaluates DSCR and stressed IRR viability under scenario-conditioned exit values to expose leverage fragility,Scenario DSCR/IRR output + viability states,PARTIAL,OPERATOR_DEPENDENT,Calibration linkage to desk governance and leverage policy remains external,Stochastic invalidation stress layer
CTRL-027,scripts/24_irr.R,Ongoing Monitoring,IRR attribution module decomposes return drivers and recomputes stressed IRR per scenario for monitoring against floor and target thresholds,IRR attribution artifacts + stressed signal evidence,PARTIAL,OPERATOR_DEPENDENT,Target/floor governance and monitoring escalation remain external,Stochastic invalidation stress layer
CTRL-028,scripts/25_deal_summary.R,Output Integrity and Aggregation Consistency,Deal intelligence aggregator consolidates lens outputs and capital stack signals into deterministic committee summaries with worst-case identification,Consolidated summary artifact + metadata record,FULL,NO,Unified output integrity is reproducible from governed inputs and fixed seed,Deterministic seed/config-driven scenarios
CTRL-029,scripts/30_bs_core.R,Conceptual Soundness,Derivation and runtime implementation are documented from replicating-portfolio PDE basis with explicit risk-neutral drift elimination,Script header + preflight halt artifact,FULL,OPERATOR_DEPENDENT,Empirical volatility calibration remains operator owned,Deterministic seed/config-driven scenarios
CTRL-030,scripts/30b_greeks.R,Ongoing Monitoring,Analytical Greeks and delta-gamma-vega scenario decomposition provide continuous sensitivity monitoring and explainability,Greeks output table,FULL,NO,Closed-form Greeks are analytical and calibration-independent,Deterministic seed/config-driven scenarios
CTRL-031,scripts/30b_greeks.R,Greeks-based P&L Attribution,Scenario P&L decomposition emitted as delta gamma vega totals per option position,Options summary artifact,FULL,NO,Practitioner-standard attribution implemented,Deterministic seed/config-driven scenarios
CTRL-032,scripts/36_delta_hedge.R,Model Validation,Discrete replication error simulation provides internal validation lens for option-adjusted solvency headroom resilience,Delta-hedge artifact,PARTIAL,OPERATOR_DEPENDENT,Continuous-trading and liquidity assumptions are not fully valid in private credit,Deterministic seed/config-driven scenarios
CTRL-033,notebooks/sira_scenarios.ipynb,Outcomes Analysis and Ongoing Monitoring,Read-only inspection surface. Deterministic from declared seed. Does not modify governed artefacts.,Notebook execution evidence,FULL,NO,Read-only inspection surface. Deterministic from declared seed. Does not modify governed artefacts.,Deterministic seed/config-driven scenarios
CTRL-034,notebooks/SIRA_READER_GUIDE.md,Model Documentation,Orientation and navigation document that makes notebook governance artefacts discoverable to any reviewer.,Documentation artefact,FULL,NO,Entry-point guide for self-contained review package.,Single dispatch entrypoint
CTRL-035,notebooks/SIRA_METHODOLOGY.md,Conceptual Soundness,"Narrative methodology record linking design choices to governed intent across stress, signal, capital stack, and options layers.",Documentation artefact,FULL,NO,Contextual companion to assumptions registry for senior reviewers.,Stochastic invalidation stress layer
CTRL-036,notebooks/SIRA_PATH_RESOLVER.md,Configuration Management,Technical governance record for deterministic TOML path resolution with fail-loud behavior and operator mitigations.,Operational control documentation,FULL,NO,"Documents strategy order, failure behavior, and audit trail expectations.",Deterministic seed/config-driven scenarios
CTRL-037,notebooks/SIRA_RNORM_RATIONALE.md,Model Development Documentation,Governance rationale preserving Gaussian reference draws as structural evidence for distribution selection decisions.,Documentation artefact,FULL,NO,Defines removal preconditions and cross-document maintenance obligations.,Deterministic seed/config-driven scenarios
CTRL-038,notebooks/SIRA_REVIEWER_CHECKLIST.md,Model Validation,"Structured review checklist mapping validation criteria to notebook cells, source documents, and evidence artefacts.",Validation checklist,PARTIAL,OPERATOR_DEPENDENT,Section 8 contains operator-owned evidence requirements outside repository boundary.,Deterministic seed/config-driven scenarios
CTRL-039,LICENSE,Copyright and redistribution,Standard Apache License 2.0 terms at repository root,License document,FULL,NO,License instrument governing redistribution and derivative rights.,Notebook disclaimer + NOTICE discipline
CTRL-040,NOTICE,Attribution notice,Repository root NOTICE file for required attribution carriage,Notice document,FULL,NO,Supports Apache 2.0 Section 4(d) notice handling.,Notebook disclaimer + NOTICE discipline
CTRL-041,notebooks/DISCLAIMER.md,Academic use boundary,Protective academic-use boundary and scope guidance for notebook literature suite,Disclaimer document,FULL,NO,Disclaimer is distinct from license terms and does not modify Apache 2.0.,Notebook disclaimer + NOTICE discipline
CTRL-042,notebooks/NOTICE_BLOCK.md,Notice block canonical source,Single-source canonical notice block with propagation procedure,Canonical notice reference,FULL,NO,Defines maintenance sequence to prevent notice text drift.,Notebook disclaimer + NOTICE discipline
CTRL-043,docs/ETHOS.md,Architecture-level hardening declaration,Architecture-level hardening declaration codified as the governing operating model for the IĀTŌ stack,Governance document,FULL,NO,Primary architectural control declaration,Rootless Podman with hard security flags
CTRL-044,docs/ETHOS.md,Operating model declaration,Operating model declaration maps stack-level execution constraints to E8 ML4 hardening posture,Governance document,FULL,NO,Primary operating model declaration,Rootless Podman with hard security flags
CTRL-045,docs/DELIVERY.md,CC3 Risk assessment and gap analysis,Engagement model defines fixed-scope control gap analysis and exception accountability artefacts,Governance document,FULL,NO,Phase 0 control-gap governance,Deterministic seed/config-driven scenarios
CTRL-046,docs/DELIVERY.md,Evidence artefact production,Delivery framework specifies required evidence artefacts and custody model for control closure verification,Governance document,FULL,NO,Evidence pack production control,Deterministic seed/config-driven scenarios
CTRL-047,docs/DELIVERY.md,Audit logging evidence mapping,Delivery artefact mapping binds MCP session logs to ML4 audit logging objectives,Governance document,FULL,NO,Audit artefact mapping for ML4,Timestamped session audit logs
CTRL-048,Hyperlink audit (this prompt),Documentation integrity,Hyperlink audit confirms referenced governance documents resolve and remain navigable for review continuity,Hyperlink audit output,FULL,NO,Control evidence chain integrity verified at documentation layer,Timestamped session audit logs
CTRL-049,Navigation graph,Traceability — primary document chain,Navigation graph maps primary document chain to preserve deterministic reviewer traversal and control traceability,Navigation graph artifact,FULL,NO,Traceability structure maintained for governance walkthroughs,Deterministic seed/config-driven scenarios
