SIRA_Component,Control_Framework,Control_Reference,Control_Description,Evidence_Type,Coverage_Assessment,Gap_Flag,Notes
scripts/02_analysis.R (Power Law logic),FRTB Article 325,Non-Modellable Risk Factor Stress Capture,Jump-risk oriented stress regime supports severe tail scenario evaluation where linear assumptions understate risk,Scenario-level signal and ruin-flag outputs,PARTIAL,OPERATOR_DEPENDENT,Formal linkage to desk-level FRTB governance requires operator framework mapping
scripts/10_liability_engine.R,SR 11-7,Assumption Governance and Liability Boundary Control,Liability stack assumptions are TOML-governed and explicitly stress-adjusted under hyperinflation to surface headroom breach risk,Config diffs + deterministic run output,PARTIAL,OPERATOR_DEPENDENT,Requires documented owner and approval process for payout-rate and inflation assumptions
scripts/11_credit_deployment.R,Basel III IRB,Income-vs-Loss Stress Transparency,Spread engine computes gross and default-adjusted net income with scenario LGD proxy linkage while preserving non-IRB positioning,Scenario-level spread output + seeded reproducibility evidence,DECLARED_LIMITATION,NO,Analytical stress layer only and not insurer/regulatory capital output
scripts/12_spread_stress.R,BCBS 239 Principle 6,Risk Aggregation and State Classification Integrity,Cross-scenario aggregation emits deterministic SOLVENT/WATCH/BREACH states with worst-case identification and headroom summaries,Machine-generated aggregate table + metadata artifact,FULL,NO,Aggregation logic and signal counts are reproducible from fixed config+seed
scripts/13_capital_stack_viz.R,SOC 2,CC7.2 Monitoring and Exception Visibility,Terminal-native capital stack summary and color-coded chart provide consistent scenario-level operational visibility for escalation decisions,Terminal summary + output artifacts,PARTIAL,OPERATOR_DEPENDENT,Escalation ownership and notification workflow remain external governance controls
data/manifest/data_manifest.toml,BCBS 239 Principle 2,Data Architecture and Infrastructure,"Manifest establishes controlled, versioned dataset registry with mode segregation and approval fields for governed ingestion.",Versioned manifest artifact + preflight summary logs,FULL,NO,Repository-embedded data architecture control implemented.
data/lineage/*.toml,BCBS 239 Principle 3,Accuracy and Integrity,"Per-file lineage records capture dataset origin, generation method, schema version, and approval lifecycle metadata.",Lineage TOML records + manifest linkage,FULL,NO,Lineage integrity controls enforced for governed datasets.
scripts/00_env_check.R (SHA-256 verification),ISM,Integrity Verification Controls,Preflight recomputes SHA-256 for active manifest datasets and halts on live hash failure to prevent unverified ingestion.,Preflight hash verification output,FULL,NO,Integrity verification embedded in runtime gate.
scripts/20_dcf.R,SR 11-7,Outcomes Analysis,Stress-conditioned DCF engine links scenario recoveries to valuation erosion and impairment signaling for model outcomes analysis,Scenario valuation output + impairment signal evidence,PARTIAL,OPERATOR_DEPENDENT,Threshold ownership and validation cadence require committee governance
scripts/21_ma.R,SOC 2,CC3 Risk Assessment,M&A screen formalizes acquisition decision thresholds under stress and captures review/pass triggers for near-threshold outcomes,Scenario screening output + threshold config evidence,PARTIAL,OPERATOR_DEPENDENT,Acquisition override workflow and approvals remain operator-managed
scripts/23_lbo.R,FRTB Article 325,Leverage Stress and Tail Resilience,LBO stress module evaluates DSCR and stressed IRR viability under scenario-conditioned exit values to expose leverage fragility,Scenario DSCR/IRR output + viability states,PARTIAL,OPERATOR_DEPENDENT,Calibration linkage to desk governance and leverage policy remains external
scripts/24_irr.R,SR 11-7,Ongoing Monitoring,IRR attribution module decomposes return drivers and recomputes stressed IRR per scenario for monitoring against floor and target thresholds,IRR attribution artifacts + stressed signal evidence,PARTIAL,OPERATOR_DEPENDENT,Target/floor governance and monitoring escalation remain external
scripts/25_deal_summary.R,BCBS 239 Principle 6,Output Integrity and Aggregation Consistency,Deal intelligence aggregator consolidates lens outputs and capital stack signals into deterministic committee summaries with worst-case identification,Consolidated summary artifact + metadata record,FULL,NO,Unified output integrity is reproducible from governed inputs and fixed seed
scripts/30_bs_core.R,SR 11-7,Conceptual Soundness,Derivation and runtime implementation are documented from replicating-portfolio PDE basis with explicit risk-neutral drift elimination,Script header + preflight halt artifact,FULL,OPERATOR_DEPENDENT,Empirical volatility calibration remains operator owned
scripts/30b_greeks.R,SR 11-7,Ongoing Monitoring,Analytical Greeks and delta-gamma-vega scenario decomposition provide continuous sensitivity monitoring and explainability,Greeks output table,FULL,NO,Closed-form Greeks are analytical and calibration-independent
scripts/30b_greeks.R,FRTB,Greeks-based P&L Attribution,Scenario P&L decomposition emitted as delta gamma vega totals per option position,Options summary artifact,FULL,NO,Practitioner-standard attribution implemented
scripts/36_delta_hedge.R,SR 11-7,Model Validation,Discrete replication error simulation provides internal validation lens for option-adjusted solvency headroom resilience,Delta-hedge artifact,PARTIAL,OPERATOR_DEPENDENT,Continuous-trading and liquidity assumptions are not fully valid in private credit
notebooks/sira_scenarios.ipynb,SR 11-7,Outcomes Analysis and Ongoing Monitoring,Read-only inspection surface. Deterministic from declared seed. Does not modify governed artefacts.,Notebook execution evidence,FULL,NO,Read-only inspection surface. Deterministic from declared seed. Does not modify governed artefacts.
notebooks/SIRA_READER_GUIDE.md,SR 11-7,Model Documentation,Orientation and navigation document that makes notebook governance artefacts discoverable to any reviewer.,Documentation artefact,FULL,NO,Entry-point guide for self-contained review package.
notebooks/SIRA_METHODOLOGY.md,SR 11-7,Conceptual Soundness,"Narrative methodology record linking design choices to governed intent across stress, signal, capital stack, and options layers.",Documentation artefact,FULL,NO,Contextual companion to assumptions registry for senior reviewers.
notebooks/SIRA_PATH_RESOLVER.md,ISM,Configuration Management,Technical governance record for deterministic TOML path resolution with fail-loud behavior and operator mitigations.,Operational control documentation,FULL,NO,"Documents strategy order, failure behavior, and audit trail expectations."
notebooks/SIRA_RNORM_RATIONALE.md,SR 11-7,Model Development Documentation,Governance rationale preserving Gaussian reference draws as structural evidence for distribution selection decisions.,Documentation artefact,FULL,NO,Defines removal preconditions and cross-document maintenance obligations.
notebooks/SIRA_REVIEWER_CHECKLIST.md,SR 11-7,Model Validation,"Structured review checklist mapping validation criteria to notebook cells, source documents, and evidence artefacts.",Validation checklist,PARTIAL,OPERATOR_DEPENDENT,Section 8 contains operator-owned evidence requirements outside repository boundary.
LICENSE,Apache 2.0,Copyright and redistribution,Standard Apache License 2.0 terms at repository root,License document,FULL,NO,License instrument governing redistribution and derivative rights.
NOTICE,Apache 2.0,Attribution notice,Repository root NOTICE file for required attribution carriage,Notice document,FULL,NO,Supports Apache 2.0 Section 4(d) notice handling.
notebooks/DISCLAIMER.md,Intellectual integrity,Academic use boundary,Protective academic-use boundary and scope guidance for notebook literature suite,Disclaimer document,FULL,NO,Disclaimer is distinct from license terms and does not modify Apache 2.0.
notebooks/NOTICE_BLOCK.md,Configuration management,Notice block canonical source,Single-source canonical notice block with propagation procedure,Canonical notice reference,FULL,NO,Defines maintenance sequence to prevent notice text drift.
docs/ETHOS.md,ISM,Architecture-level hardening declaration,Architecture-level hardening declaration codified as the governing operating model for the IĀTŌ stack,Governance document,FULL,NO,Primary architectural control declaration
docs/ETHOS.md,Essential Eight ML4,Operating model declaration,Operating model declaration maps stack-level execution constraints to E8 ML4 hardening posture,Governance document,FULL,NO,Primary operating model declaration
docs/DELIVERY.md,SOC 2,CC3 Risk assessment and gap analysis,Engagement model defines fixed-scope control gap analysis and exception accountability artefacts,Governance document,FULL,NO,Phase 0 control-gap governance
docs/DELIVERY.md,ISM,Evidence artefact production,Delivery framework specifies required evidence artefacts and custody model for control closure verification,Governance document,FULL,NO,Evidence pack production control
docs/DELIVERY.md,Essential Eight ML4,Audit logging evidence mapping,Delivery artefact mapping binds MCP session logs to ML4 audit logging objectives,Governance document,FULL,NO,Audit artefact mapping for ML4
Hyperlink audit (this prompt),ISM,Documentation integrity,FULL,NO
Navigation graph,ISM,Traceability — primary document chain,FULL,NO
